nem_code,nem_title,occupation_type,level
00-0000,"Total, all occupations",Summary,0
11-0000,Management occupations,Summary,1
11-1000,Top executives,Summary,2
11-1011,Chief executives,Line item,3
11-1021,General and operations managers,Line item,3
11-1031,Legislators,Line item,3
11-2000,"Advertising, marketing, promotions, public relations, and sales managers",Summary,2
11-2011,Advertising and promotions managers,Line item,3
11-2020,Marketing and sales managers,Summary,3
11-2021,Marketing managers,Line item,4
11-2022,Sales managers,Line item,4
11-2030,Public relations and fundraising managers,Summary,3
11-2032,Public relations managers,Line item,4
11-2033,Fundraising managers,Line item,4
11-3000,Operations specialties managers,Summary,2
11-3010,Administrative services and facilities managers,Summary,3
11-3012,Administrative services managers,Line item,4
11-3013,Facilities managers,Line item,4
11-3021,Computer and information systems managers,Line item,3
11-3031,Financial managers,Line item,3
11-3051,Industrial production managers,Line item,3
11-3061,Purchasing managers,Line item,3
11-3071,"Transportation, storage, and distribution managers",Line item,3
11-3111,Compensation and benefits managers,Line item,3
11-3121,Human resources managers,Line item,3
11-3131,Training and development managers,Line item,3
11-9000,Other management occupations,Summary,2
11-9013,"Farmers, ranchers, and other agricultural managers",Line item,3
11-9021,Construction managers,Line item,3
11-9030,Education and childcare administrators,Summary,3
11-9031,"Education and childcare administrators, preschool and daycare",Line item,4
11-9032,"Education administrators, kindergarten through secondary",Line item,4
11-9033,"Education administrators, postsecondary",Line item,4
11-9039,"Education administrators, all other",Line item,4
11-9041,Architectural and engineering managers,Line item,3
11-9051,Food service managers,Line item,3
11-9070,Entertainment and recreation managers,Summary,3
11-9071,Gambling managers,Line item,4
11-9072,"Entertainment and recreation managers, except gambling",Line item,4
11-9081,Lodging managers,Line item,3
11-9111,Medical and health services managers,Line item,3
11-9121,Natural sciences managers,Line item,3
11-9131,Postmasters and mail superintendents,Line item,3
11-9141,"Property, real estate, and community association managers",Line item,3
11-9151,Social and community service managers,Line item,3
11-9161,Emergency management directors,Line item,3
11-9170,Personal service managers,Summary,3
11-9171,Funeral home managers,Line item,4
11-9179,"Personal service managers, all other",Line item,4
11-9199,"Managers, all other",Line item,3
13-0000,Business and financial operations occupations,Summary,1
13-1000,Business operations specialists,Summary,2
13-1011,"Agents and business managers of artists, performers, and athletes",Line item,3
13-1020,Buyers and purchasing agents,Line item,3
13-1030,"Claims adjusters, appraisers, examiners, and investigators",Summary,3
13-1031,"Claims adjusters, examiners, and investigators",Line item,4
13-1032,"Insurance appraisers, auto damage",Line item,4
13-1041,Compliance officers,Line item,3
13-1051,Cost estimators,Line item,3
13-1070,Human resources workers,Summary,3
13-1071,Human resources specialists,Line item,4
13-1074,Farm labor contractors,Line item,4
13-1075,Labor relations specialists,Line item,4
13-1080,Logisticians and project management specialists,Summary,3
13-1081,Logisticians,Line item,4
13-1082,Project management specialists,Line item,4
13-1111,Management analysts,Line item,3
13-1121,"Meeting, convention, and event planners",Line item,3
13-1131,Fundraisers,Line item,3
13-1141,"Compensation, benefits, and job analysis specialists",Line item,3
13-1151,Training and development specialists,Line item,3
13-1161,Market research analysts and marketing specialists,Line item,3
13-1199,"Business operations specialists, all other",Line item,3
13-2000,Financial specialists,Summary,2
13-2011,Accountants and auditors,Line item,3
13-2020,Property appraisers and assessors,Line item,3
13-2031,Budget analysts,Line item,3
13-2041,Credit analysts,Line item,3
13-2050,Financial analysts and advisors,Summary,3
13-2051,Financial and investment analysts,Line item,4
13-2052,Personal financial advisors,Line item,4
13-2053,Insurance underwriters,Line item,4
13-2054,Financial risk specialists,Line item,4
13-2061,Financial examiners,Line item,3
13-2070,Credit counselors and loan officers,Summary,3
13-2071,Credit counselors,Line item,4
13-2072,Loan officers,Line item,4
13-2080,"Tax examiners, collectors and preparers, and revenue agents",Summary,3
13-2081,"Tax examiners and collectors, and revenue agents",Line item,4
13-2082,Tax preparers,Line item,4
13-2099,"Financial specialists, all other",Line item,3
15-0000,Computer and mathematical occupations,Summary,1
15-1200,Computer occupations,Summary,2
15-1210,Computer and information analysts,Summary,3
15-1211,Computer systems analysts,Line item,4
15-1212,Information security analysts,Line item,4
15-1221,Computer and information research scientists,Line item,3
15-1230,Computer support specialists,Summary,3
15-1231,Computer network support specialists,Line item,4
15-1232,Computer user support specialists,Line item,4
15-1240,Database and network administrators and architects,Summary,3
15-1241,Computer network architects,Line item,4
15-1242,Database administrators,Line item,4
15-1243,Database architects,Line item,4
15-1244,Network and computer systems administrators,Line item,4
15-1250,"Software and web developers, programmers, and testers",Summary,3
15-1251,Computer programmers,Line item,4
15-1252,Software developers,Line item,4
15-1253,Software quality assurance analysts and testers,Line item,4
15-1254,Web developers,Line item,4
15-1255,Web and digital interface designers,Line item,4
15-1299,"Computer occupations, all other",Line item,3
15-2000,Mathematical science occupations,Summary,2
15-2011,Actuaries,Line item,3
15-2021,Mathematicians,Line item,3
15-2031,Operations research analysts,Line item,3
15-2041,Statisticians,Line item,3
15-2051,Data scientists,Line item,3
15-2099,"Mathematical science occupations, all other",Line item,3
17-0000,Architecture and engineering occupations,Summary,1
17-1000,"Architects, surveyors, and cartographers",Summary,2
17-1010,"Architects, except naval",Summary,3
17-1011,"Architects, except landscape and naval",Line item,4
17-1012,Landscape architects,Line item,4
17-1020,"Surveyors, cartographers, and photogrammetrists",Summary,3
17-1021,Cartographers and photogrammetrists,Line item,4
17-1022,Surveyors,Line item,4
17-2000,Engineers,Summary,2
17-2011,Aerospace engineers,Line item,3
17-2021,Agricultural engineers,Line item,3
17-2031,Bioengineers and biomedical engineers,Line item,3
17-2041,Chemical engineers,Line item,3
17-2051,Civil engineers,Line item,3
17-2061,Computer hardware engineers,Line item,3
17-2070,Electrical and electronics engineers,Summary,3
17-2071,Electrical engineers,Line item,4
17-2072,"Electronics engineers, except computer",Line item,4
17-2081,Environmental engineers,Line item,3
17-2110,"Industrial engineers, including health and safety",Summary,3
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",Line item,4
17-2112,Industrial engineers,Line item,4
17-2121,Marine engineers and naval architects,Line item,3
17-2131,Materials engineers,Line item,3
17-2141,Mechanical engineers,Line item,3
17-2151,"Mining and geological engineers, including mining safety engineers",Line item,3
17-2161,Nuclear engineers,Line item,3
17-2171,Petroleum engineers,Line item,3
17-2199,"Engineers, all other",Line item,3
17-3000,"Drafters, engineering technicians, and mapping technicians",Summary,2
17-3010,Drafters,Summary,3
17-3011,Architectural and civil drafters,Line item,4
17-3012,Electrical and electronics drafters,Line item,4
17-3013,Mechanical drafters,Line item,4
17-3019,"Drafters, all other",Line item,4
17-3020,"Engineering technologists and technicians, except drafters",Summary,3
17-3021,Aerospace engineering and operations technologists and technicians,Line item,4
17-3022,Civil engineering technologists and technicians,Line item,4
17-3023,Electrical and electronic engineering technologists and technicians,Line item,4
17-3024,Electro-mechanical and mechatronics technologists and technicians,Line item,4
17-3025,Environmental engineering technologists and technicians,Line item,4
17-3026,Industrial engineering technologists and technicians,Line item,4
17-3027,Mechanical engineering technologists and technicians,Line item,4
17-3028,Calibration technologists and technicians,Line item,4
17-3029,"Engineering technologists and technicians, except drafters, all other",Line item,4
17-3031,Surveying and mapping technicians,Line item,3
19-0000,"Life, physical, and social science occupations",Summary,1
19-1000,Life scientists,Summary,2
19-1010,Agricultural and food scientists,Summary,3
19-1011,Animal scientists,Line item,4
19-1012,Food scientists and technologists,Line item,4
19-1013,Soil and plant scientists,Line item,4
19-1020,Biological scientists,Summary,3
19-1021,Biochemists and biophysicists,Line item,4
19-1022,Microbiologists,Line item,4
19-1023,Zoologists and wildlife biologists,Line item,4
19-1029,"Biological scientists, all other",Line item,4
19-1030,Conservation scientists and foresters,Summary,3
19-1031,Conservation scientists,Line item,4
19-1032,Foresters,Line item,4
19-1040,Medical scientists,Summary,3
19-1041,Epidemiologists,Line item,4
19-1042,"Medical scientists, except epidemiologists",Line item,4
19-1099,"Life scientists, all other",Line item,3
19-2000,Physical scientists,Summary,2
19-2010,Astronomers and physicists,Summary,3
19-2011,Astronomers,Line item,4
19-2012,Physicists,Line item,4
19-2021,Atmospheric and space scientists,Line item,3
19-2030,Chemists and materials scientists,Summary,3
19-2031,Chemists,Line item,4
19-2032,Materials scientists,Line item,4
19-2040,Environmental scientists and geoscientists,Summary,3
19-2041,"Environmental scientists and specialists, including health",Line item,4
19-2042,"Geoscientists, except hydrologists and geographers",Line item,4
19-2043,Hydrologists,Line item,4
19-2099,"Physical scientists, all other",Line item,3
19-3000,Social scientists and related workers,Summary,2
19-3011,Economists,Line item,3
19-3022,Survey researchers,Line item,3
19-3030,Psychologists,Summary,3
19-3032,Industrial-organizational psychologists,Line item,4
19-3033,Clinical and counseling psychologists,Line item,4
19-3034,School psychologists,Line item,4
19-3039,"Psychologists, all other",Line item,4
19-3041,Sociologists,Line item,3
19-3051,Urban and regional planners,Line item,3
19-3090,Miscellaneous social scientists and related workers,Summary,3
19-3091,Anthropologists and archeologists,Line item,4
19-3092,Geographers,Line item,4
19-3093,Historians,Line item,4
19-3094,Political scientists,Line item,4
19-3099,"Social scientists and related workers, all other",Line item,4
19-4000,"Life, physical, and social science technicians",Summary,2
19-4010,Agricultural and food science technicians,Summary,3
19-4012,Agricultural technicians,Line item,4
19-4013,Food science technicians,Line item,4
19-4021,Biological technicians,Line item,3
19-4031,Chemical technicians,Line item,3
19-4040,Environmental science and geoscience technicians,Summary,3
19-4042,"Environmental science and protection technicians, including health",Line item,4
19-4043,"Geological technicians, except hydrologic technicians",Line item,4
19-4044,Hydrologic technicians,Line item,4
19-4051,Nuclear technicians,Line item,3
19-4061,Social science research assistants,Line item,3
19-4071,Forest and conservation technicians,Line item,3
19-4090,"Miscellaneous life, physical, and social science technicians",Summary,3
19-4092,Forensic science technicians,Line item,4
19-4099,"Life, physical, and social science technicians, all other",Line item,4
19-5000,Occupational health and safety specialists and technicians,Summary,2
19-5011,Occupational health and safety specialists,Line item,3
19-5012,Occupational health and safety technicians,Line item,3
21-0000,Community and social service occupations,Summary,1
21-1000,"Counselors, social workers, and other community and social service specialists",Summary,2
21-1010,Counselors,Summary,3
21-1012,"Educational, guidance, and career counselors and advisors",Line item,4
21-1013,Marriage and family therapists,Line item,4
21-1015,Rehabilitation counselors,Line item,4
21-1018,"Substance abuse, behavioral disorder, and mental health counselors",Line item,4
21-1019,"Counselors, all other",Line item,4
21-1020,Social workers,Summary,3
21-1021,"Child, family, and school social workers",Line item,4
21-1022,Healthcare social workers,Line item,4
21-1023,Mental health and substance abuse social workers,Line item,4
21-1029,"Social workers, all other",Line item,4
21-1090,Miscellaneous community and social service specialists,Summary,3
21-1091,Health education specialists,Line item,4
21-1092,Probation officers and correctional treatment specialists,Line item,4
21-1093,Social and human service assistants,Line item,4
21-1094,Community health workers,Line item,4
21-1099,"Community and social service specialists, all other",Line item,4
21-2000,Religious workers,Summary,2
21-2011,Clergy,Line item,3
21-2021,"Directors, religious activities and education",Line item,3
21-2099,"Religious workers, all other",Line item,3
23-0000,Legal occupations,Summary,1
23-1000,"Lawyers, judges, and related workers",Summary,2
23-1010,Lawyers and judicial law clerks,Summary,3
23-1011,Lawyers,Line item,4
23-1012,Judicial law clerks,Line item,4
23-1020,"Judges, magistrates, and other judicial workers",Summary,3
23-1021,"Administrative law judges, adjudicators, and hearing officers",Line item,4
23-1022,"Arbitrators, mediators, and conciliators",Line item,4
23-1023,"Judges, magistrate judges, and magistrates",Line item,4
23-2000,Legal support workers,Summary,2
23-2011,Paralegals and legal assistants,Line item,3
23-2090,Miscellaneous legal support workers,Summary,3
23-2093,"Title examiners, abstractors, and searchers",Line item,4
23-2099,"Legal support workers, all other",Line item,4
25-0000,Educational instruction and library occupations,Summary,1
25-1000,Postsecondary teachers,Summary,2
25-1011,"Business teachers, postsecondary",Line item,3
25-1020,"Math and computer science teachers, postsecondary",Summary,3
25-1021,"Computer science teachers, postsecondary",Line item,4
25-1022,"Mathematical science teachers, postsecondary",Line item,4
25-1030,"Engineering and architecture teachers, postsecondary",Summary,3
25-1031,"Architecture teachers, postsecondary",Line item,4
25-1032,"Engineering teachers, postsecondary",Line item,4
25-1040,"Life sciences teachers, postsecondary",Summary,3
25-1041,"Agricultural sciences teachers, postsecondary",Line item,4
25-1042,"Biological science teachers, postsecondary",Line item,4
25-1043,"Forestry and conservation science teachers, postsecondary",Line item,4
25-1050,"Physical sciences teachers, postsecondary",Summary,3
25-1051,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",Line item,4
25-1052,"Chemistry teachers, postsecondary",Line item,4
25-1053,"Environmental science teachers, postsecondary",Line item,4
25-1054,"Physics teachers, postsecondary",Line item,4
25-1060,"Social sciences teachers, postsecondary",Summary,3
25-1061,"Anthropology and archeology teachers, postsecondary",Line item,4
25-1062,"Area, ethnic, and cultural studies teachers, postsecondary",Line item,4
25-1063,"Economics teachers, postsecondary",Line item,4
25-1064,"Geography teachers, postsecondary",Line item,4
25-1065,"Political science teachers, postsecondary",Line item,4
25-1066,"Psychology teachers, postsecondary",Line item,4
25-1067,"Sociology teachers, postsecondary",Line item,4
25-1069,"Social sciences teachers, postsecondary, all other",Line item,4
25-1070,"Health teachers, postsecondary",Summary,3
25-1071,"Health specialties teachers, postsecondary",Line item,4
25-1072,"Nursing instructors and teachers, postsecondary",Line item,4
25-1080,"Education and library science teachers, postsecondary",Summary,3
25-1081,"Education teachers, postsecondary",Line item,4
25-1082,"Library science teachers, postsecondary",Line item,4
25-1110,"Law, criminal justice, and social work teachers, postsecondary",Summary,3
25-1111,"Criminal justice and law enforcement teachers, postsecondary",Line item,4
25-1112,"Law teachers, postsecondary",Line item,4
25-1113,"Social work teachers, postsecondary",Line item,4
25-1120,"Arts, communications, history, and humanities teachers, postsecondary",Summary,3
25-1121,"Art, drama, and music teachers, postsecondary",Line item,4
25-1122,"Communications teachers, postsecondary",Line item,4
25-1123,"English language and literature teachers, postsecondary",Line item,4
25-1124,"Foreign language and literature teachers, postsecondary",Line item,4
25-1125,"History teachers, postsecondary",Line item,4
25-1126,"Philosophy and religion teachers, postsecondary",Line item,4
25-1190,Miscellaneous postsecondary teachers,Summary,3
25-1192,"Family and consumer sciences teachers, postsecondary",Line item,4
25-1193,"Recreation and fitness studies teachers, postsecondary",Line item,4
25-1194,"Career/technical education teachers, postsecondary",Line item,4
25-1199,"Postsecondary teachers, all other",Line item,4
25-2000,"Preschool, elementary, middle, secondary, and special education teachers",Summary,2
25-2010,Preschool and kindergarten teachers,Summary,3
25-2011,"Preschool teachers, except special education",Line item,4
25-2012,"Kindergarten teachers, except special education",Line item,4
25-2020,Elementary and middle school teachers,Summary,3
25-2021,"Elementary school teachers, except special education",Line item,4
25-2022,"Middle school teachers, except special and career/technical education",Line item,4
25-2023,"Career/technical education teachers, middle school",Line item,4
25-2030,Secondary school teachers,Summary,3
25-2031,"Secondary school teachers, except special and career/technical education",Line item,4
25-2032,"Career/technical education teachers, secondary school",Line item,4
25-2050,Special education teachers,Summary,3
25-2051,"Special education teachers, preschool",Line item,4
25-2052,"Special education teachers, kindergarten and elementary school",Line item,4
25-2057,"Special education teachers, middle school",Line item,4
25-2058,"Special education teachers, secondary school",Line item,4
25-2059,"Special education teachers, all other",Line item,4
25-3000,Other teachers and instructors,Summary,2
25-3011,"Adult basic education, adult secondary education, and english as a second language instructors",Line item,3
25-3021,Self-enrichment teachers,Line item,3
25-3031,"Substitute teachers, short-term",Line item,3
25-3041,Tutors,Line item,3
25-3099,"Teachers and instructors, all other",Line item,3
25-4000,"Librarians, curators, and archivists",Summary,2
25-4010,"Archivists, curators, and museum technicians",Summary,3
25-4011,Archivists,Line item,4
25-4012,Curators,Line item,4
25-4013,Museum technicians and conservators,Line item,4
25-4022,Librarians and media collections specialists,Line item,3
25-4031,Library technicians,Line item,3
25-9000,Other educational instruction and library occupations,Summary,2
25-9021,Farm and home management educators,Line item,3
25-9031,Instructional coordinators,Line item,3
25-9040,Teaching assistants,Summary,3
25-9044,"Teaching assistants, postsecondary",Line item,4
25-9045,"Teaching assistants, except postsecondary",Line item,4
25-9099,"Educational instruction and library workers, all other",Line item,3
27-0000,"Arts, design, entertainment, sports, and media occupations",Summary,1
27-1000,Art and design workers,Summary,2
27-1010,Artists and related workers,Summary,3
27-1011,Art directors,Line item,4
27-1012,Craft artists,Line item,4
27-1013,"Fine artists, including painters, sculptors, and illustrators",Line item,4
27-1014,Special effects artists and animators,Line item,4
27-1019,"Artists and related workers, all other",Line item,4
27-1020,Designers,Summary,3
27-1021,Commercial and industrial designers,Line item,4
27-1022,Fashion designers,Line item,4
27-1023,Floral designers,Line item,4
27-1024,Graphic designers,Line item,4
27-1025,Interior designers,Line item,4
27-1026,Merchandise displayers and window trimmers,Line item,4
27-1027,Set and exhibit designers,Line item,4
27-1029,"Designers, all other",Line item,4
27-2000,"Entertainers and performers, sports and related workers",Summary,2
27-2010,"Actors, producers, and directors",Summary,3
27-2011,Actors,Line item,4
27-2012,Producers and directors,Line item,4
27-2020,"Athletes, coaches, umpires, and related workers",Summary,3
27-2021,Athletes and sports competitors,Line item,4
27-2022,Coaches and scouts,Line item,4
27-2023,"Umpires, referees, and other sports officials",Line item,4
27-2030,Dancers and choreographers,Summary,3
27-2031,Dancers,Line item,4
27-2032,Choreographers,Line item,4
